,EVENT_ID,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION
943,785388,69.0,M,In Water
944,785476,18.0,F,In Water
945,785476,2.0,F,In Water
946,785483,54.0,F,Permanent Home
947,786080,23.0,M,In Water
948,786781,53.0,F,Unknown
949,786876,27.0,M,Outside/Open Areas
950,786922,60.0,M,Business
951,787252,61.0,F,Outside/Open Areas
952,787800,0.0,M,Mobile/Trailer Home
953,787816,61.0,F,Vehicle/Towed Trailer
954,787817,49.0,M,Other
955,787817,41.0,F,Other
956,787887,1.0,M,Vehicle/Towed Trailer
957,787914,88.0,M,Vehicle/Towed Trailer
958,787921,46.0,F,Vehicle/Towed Trailer
959,774074,40.0,M,Outside/Open Areas
960,774083,18.0,M,Outside/Open Areas
961,779523,28.0,M,Outside/Open Areas
962,781930,77.0,M,Vehicle/Towed Trailer
963,864708,,,Unknown
964,864708,,,Unknown
965,864712,,,Unknown
966,864712,,,Unknown
967,864712,,,Unknown
968,864712,,,Unknown
969,864712,,,Unknown
970,864712,,,Unknown
971,864712,,,Unknown
972,864712,,,Unknown
973,864712,,,Unknown
974,864712,,,Unknown
975,864712,,,Unknown
976,864717,,,Unknown
977,864849,,,Unknown
978,864850,,,Unknown
979,864851,,,Unknown
980,864852,,,Unknown
981,864861,,,Unknown
982,864861,,,Unknown
983,864885,,,Unknown
984,743632,36.0,M,Under Tree
985,746849,,F,In Water
986,764407,14.0,M,Camping
987,864886,,,Unknown
988,864887,,,Unknown
989,864888,,,Unknown
990,864890,,,Unknown
991,864891,,,Unknown
992,864892,,,Unknown
993,864897,,,Unknown
994,864898,,,Unknown
995,864898,,,Unknown
996,864898,,,Unknown
997,864898,,,Unknown
998,784380,,M,Outside/Open Areas
999,784961,61.0,,Permanent Home
1000,784961,63.0,,Permanent Home
1001,784963,81.0,M,Vehicle/Towed Trailer
1002,784966,45.0,F,Vehicle/Towed Trailer
1003,784966,43.0,F,Vehicle/Towed Trailer
1004,784975,23.0,M,Vehicle/Towed Trailer
1005,864898,,,Unknown
1006,864898,,,Unknown
1007,864898,,,Unknown
1008,864898,,,Unknown
1009,864898,,,Unknown
1010,786489,83.0,,Vehicle/Towed Trailer
1011,786498,51.0,F,Vehicle/Towed Trailer
1012,786794,71.0,M,Vehicle/Towed Trailer
1013,786993,85.0,M,Outside/Open Areas
1014,864899,,,Unknown
1015,864899,,,Unknown
1016,864899,,,Unknown
1017,864900,,,Unknown
1018,864904,,,Unknown
1019,864904,,,Unknown
1020,864905,,,Unknown
1021,864906,,,Unknown
1022,727673,75.0,M,Outside/Open Areas
1023,727674,88.0,F,Outside/Open Areas
1024,727675,27.0,F,Outside/Open Areas
1025,727697,35.0,M,Vehicle/Towed Trailer
1026,727703,52.0,F,Outside/Open Areas
1027,736999,,,Outside/Open Areas
1028,737000,,,Outside/Open Areas
1029,737656,,M,Outside/Open Areas
1030,739886,,,Outside/Open Areas
1031,739887,82.0,F,Outside/Open Areas
1032,864907,,,Unknown
1033,864908,,,Unknown
1034,864909,,,Unknown
1035,864910,,,Unknown
1036,864910,,,Unknown
1037,864919,,,Unknown
1038,864921,,,Unknown
1039,864924,,,Unknown
1040,864925,,,Unknown
1041,864925,,,Unknown
1042,864926,26.0,M,Outside/Open Areas
1043,864928,,,Unknown
1044,864931,,,Unknown
1045,864933,,,Unknown
1046,864935,,,Unknown
1047,864936,,,Unknown
1048,864937,,,Unknown
1049,865099,,,Unknown
1050,865099,,,Unknown
1051,865319,,,Unknown
1052,865921,,,Unknown
1053,865921,,,Unknown
1054,865921,,,Unknown
1055,865922,,,Unknown
1056,865922,,,Unknown
1057,866442,,,Unknown
1058,866442,,,Unknown
1059,866443,,,Unknown
1060,866443,,,Unknown
1061,866443,,,Unknown
1062,866444,,,Unknown
1063,866444,,,Unknown
1064,866447,,,Unknown
1065,866450,,,Unknown
1066,866450,,,Unknown
1067,866450,,,Unknown
1068,866452,,,Unknown
1069,866452,,,Unknown
1070,866453,,,Unknown
1071,866453,,,Unknown
1072,866455,,,Unknown
1073,866455,,,Unknown
1074,866455,,,Unknown
1075,866455,,,Unknown
1076,866455,,,Unknown
1077,866455,,,Unknown
1078,866455,,,Unknown
1079,866455,,,Unknown
1080,866455,,,Unknown
1081,866455,,,Unknown
1082,866456,,,Unknown
1083,866456,,,Unknown
1084,867054,65.0,M,Outside/Open Areas
1085,867269,,,Unknown
1086,867271,,,Unknown
1087,867272,,,Unknown
1088,867273,,,Unknown
1089,867285,,,Unknown
1090,867286,,,Unknown
1091,867287,,,Unknown
1092,867288,,,Unknown
1093,867289,,,Unknown
1094,867295,,,Unknown
1095,867296,,,Unknown
1096,867297,,,Unknown
1097,867298,,,Unknown
1098,867299,,,Unknown
1099,867300,,,Unknown
1100,867301,,,Unknown
1101,867301,,,Unknown
1102,867317,,,Unknown
1103,867318,,,Unknown
1104,867319,,,Unknown
1105,867320,,,Unknown
1106,867355,,,Unknown
1107,867356,,,Unknown
1108,867356,,,Unknown
1109,867357,,,Unknown
1110,867358,,,Unknown
1111,867359,,,Unknown
1112,867359,,,Unknown
1113,867360,,,Unknown
1114,867361,,,Unknown
1115,867362,,,Unknown
1116,867363,,,Unknown
1117,867364,,,Unknown
1118,867365,,,Unknown
1119,867366,,,Unknown
1120,867367,,,Unknown
1121,867368,,,Unknown
1122,867369,,,Unknown
1123,866455,,,Unknown
1124,778943,,M,Outside/Open Areas
1125,864712,,,Unknown
1126,733846,46.0,F,Outside/Open Areas
1127,738582,83.0,M,Mobile/Trailer Home
1128,743753,52.0,F,In Water
1129,747628,38.0,F,Boating
1130,726052,52.0,F,Outside/Open Areas
1131,726215,20.0,M,Vehicle/Towed Trailer
1132,726225,29.0,M,Vehicle/Towed Trailer
1133,726403,49.0,M,Outside/Open Areas
1134,726404,,M,Outside/Open Areas
1135,726483,21.0,M,In Water
1136,726786,56.0,M,Vehicle/Towed Trailer
1137,727203,,M,Outside/Open Areas
1138,727233,18.0,F,Vehicle/Towed Trailer
1139,727233,56.0,M,Vehicle/Towed Trailer
1140,727488,69.0,M,Outside/Open Areas
1141,727488,57.0,F,Outside/Open Areas
1142,727604,26.0,M,Vehicle/Towed Trailer
1143,864886,,,Unknown
