,Unnamed: 0_x,STATE,EVENT_ID,YEAR,EVENT_TYPE,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,Unnamed: 0_y,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION
1788,119664,ARIZONA,862273,2018,Excessive Heat,0,0,17,3,0.0,0.00K,1270,,,Unknown
1789,119664,ARIZONA,862273,2018,Excessive Heat,0,0,17,3,0.0,0.00K,1271,,,Unknown
1790,119664,ARIZONA,862273,2018,Excessive Heat,0,0,17,3,0.0,0.00K,1272,,,Unknown
1791,119664,ARIZONA,862273,2018,Excessive Heat,0,0,17,3,0.0,0.00K,1273,,,Unknown
1792,119664,ARIZONA,862273,2018,Excessive Heat,0,0,17,3,0.0,0.00K,1274,,,Unknown
1793,119664,ARIZONA,862273,2018,Excessive Heat,0,0,17,3,0.0,0.00K,1275,,,Unknown
1794,119664,ARIZONA,862273,2018,Excessive Heat,0,0,17,3,0.0,0.00K,1276,,,Unknown
1795,119664,ARIZONA,862273,2018,Excessive Heat,0,0,17,3,0.0,0.00K,1277,,,Unknown
1796,119664,ARIZONA,862273,2018,Excessive Heat,0,0,17,3,0.0,0.00K,1278,,,Unknown
1797,119664,ARIZONA,862273,2018,Excessive Heat,0,0,17,3,0.0,0.00K,1279,,,Unknown
1798,119664,ARIZONA,862273,2018,Excessive Heat,0,0,17,3,0.0,0.00K,1280,,,Unknown
1799,119664,ARIZONA,862273,2018,Excessive Heat,0,0,17,3,0.0,0.00K,1281,,,Unknown
1800,119664,ARIZONA,862273,2018,Excessive Heat,0,0,17,3,0.0,0.00K,1282,,,Unknown
1801,119664,ARIZONA,862273,2018,Excessive Heat,0,0,17,3,0.0,0.00K,1283,,,Unknown
1802,119666,ARIZONA,854804,2018,Excessive Heat,0,0,0,1,0.0,0.00K,778,,,Unknown
1803,119667,ARIZONA,854799,2018,Excessive Heat,0,0,1,1,0.0,0.00K,1200,,,Unknown
1804,119667,ARIZONA,854799,2018,Excessive Heat,0,0,1,1,0.0,0.00K,1201,,,Unknown
1805,119668,ARIZONA,854805,2018,Heat,0,0,1,2,0.0,0.00K,1202,,,Unknown
1806,119668,ARIZONA,854805,2018,Heat,0,0,1,2,0.0,0.00K,1203,,,Unknown
1807,119668,ARIZONA,854805,2018,Heat,0,0,1,2,0.0,0.00K,1204,,,Unknown
1808,119670,ARIZONA,854806,2018,Heat,0,0,1,0,0.0,0.00K,1205,,,Unknown
1809,119678,COLORADO,752005,2018,High Wind,0,0,0,0,,,1733,,F,Under Tree
1810,119679,COLORADO,752008,2018,High Wind,0,0,0,0,,,1736,,F,Under Tree
1811,119680,COLORADO,752012,2018,High Wind,0,0,0,0,,,1740,,F,Under Tree
1812,119681,COLORADO,752007,2018,High Wind,0,0,0,0,,,1735,,F,Under Tree
1813,119682,COLORADO,751925,2018,High Wind,0,0,0,0,,,1731,,F,Under Tree
1814,119683,COLORADO,752006,2018,High Wind,0,0,0,0,,,1734,,F,Under Tree
1815,119684,COLORADO,752011,2018,High Wind,0,0,0,0,,,1739,,F,Under Tree
1816,119685,COLORADO,752010,2018,High Wind,0,0,0,0,,,1738,,F,Under Tree
1817,119686,COLORADO,752009,2018,High Wind,0,0,0,0,,,1737,,F,Under Tree
1818,119687,COLORADO,751926,2018,High Wind,0,0,0,0,,,1732,,F,Under Tree
1819,119697,VERMONT,755349,2018,Heat,0,0,3,0,0.0,0.00K,1633,57.0,F,Mobile/Trailer Home
1820,119697,VERMONT,755349,2018,Heat,0,0,3,0,0.0,0.00K,1634,71.0,M,Permanent Home
1821,119697,VERMONT,755349,2018,Heat,0,0,3,0,0.0,0.00K,1680,79.0,F,Permanent Home
1822,119717,VERMONT,755347,2018,Heat,0,0,1,0,0.0,0.00K,1632,67.0,M,Permanent Home
